Артикул;Наименование;Единица_измерения;Количество;Основной_поставщик;Изображение;Тип_фурнитуры;Закупочная_цена;Вес
PN63;Дюбель 6 серый;шт;2302;;;Дюбель;1,13;
PN84;Дюбель  серый;шт;1018;;;Дюбель;1,91;
40060805;Саморез с потайной головкой под крест ;шт;2122;;;Саморез;0,42;
60103350ZN;LIKU Саморез с полукруглой головкой под крест для крепления мебельного навеса;шт;1420;;;Саморез;4,24;
SW50X35KB;Саморез с цилиндрической головкой и внутренним шестигранником;шт;544;;;Саморез;4,68;
SW60X35KB;Саморез с цилиндрической головкой и внутренним шестигранником;шт;1176;;;Саморез;4,68;
US30X13KB;Саморез с потайной головкой под крест;упак;767;;;Саморез;269,86;
US30X16KB;Саморез с потайной головкой под крест;упак;2088;;;Саморез;301,87;
US30X20KB;Саморез с потайной головкой под крест;упак;699;;;Саморез;350,93;
US30X30KB;Саморез с потайной головкой под крест;упак;699;;;Саморез;450,09;
US35X13KB;Саморез с потайной головкой под крест;упак;1132;;;Саморез;264,84;
US35X16BL;Саморез с потайной головкой под крест;упак;2751;;;Саморез;61,85;
US35X16KB;Саморез с потайной головкой под крест;упак;2707;;;Саморез;299,47;
US35X20KB;Саморез с потайной головкой под крест;упак;2708;;;Саморез;357,00;
US35X25KB;Саморез с потайной головкой под крест;упак;1192;;;Саморез;403,87;
US35X30KB;Саморез с потайной головкой под крест;упак;710;;;Саморез;431,85;
US35X40KB;Саморез с потайной головкой под крест;упак;1355;;;Саморез;604,53;
US35X60KB;Саморез с потайной головкой под крест;упак;1504;;;Саморез;262,86;
US40X16BL;Саморез с потайной головкой под крест;упак;334;;;Саморез;70,54;
US40X16KB;Саморез с потайной головкой под крест;упак;1634;;;Саморез;368,53;
US40X20KB;Саморез с потайной головкой под крест;упак;1224;;;Саморез;209,57;
US40X25KB;Саморез с потайной головкой под крест;упак;137;;;Саморез;241,87;
US40X30KB;Саморез с потайной головкой под крест;упак;1596;;;Саморез;290,28;
US40X40KB;Саморез с потайной головкой под крест;упак;2868;;;Саморез;333,96;
US60X30KB;Саморез с потай;упак;1575;;;Саморез;316,52;
US60X30KB;Саморез с потай;упак;1718;;;Саморез;30,50;
UW30X50KB;Саморез с полукруглой головкой под крест;упак;277;;;Саморез;200,00;
UW30X50KB;Саморез с полукруглой головкой под крест;упак;1458;;;Саморез;20,00;
UW40X30KB;Саморез с полукруглой головкой под крест;упак;2933;;;Саморез;1046,77;
63Х13VЕ05;Евровинт с потайной головкой;тыс. шт.;1033;;;Евровинт;679,45;
EC40X130;Евровинт с потайной головкой;тыс. шт.;1326;;;Евровинт;484,65;
EC60X115;Евровинт с потайной головкой;шт;2521;;;Евровинт;0,78;
EC63X130;Евровинт с потайной головкой;тыс. шт.;2482;;;Евровинт;679,45;
EC63X160;Евровинт с потайной головкой;упак;1619;;;Евровинт;106,44;
EC63X200;Евровинт с потайной головкой;упак;1237;;;Евровинт;130,97;
V6310;Евровинт с полукруглой головкой для соосного крепления площадок петель;шт;1202;;;Евровинт;2,19;
V6313;Евровинт с полукруглой головкой;шт;1502;;;Евровинт;2,33;
VS05FZ;Евровинт с потайной головкой для держателя задней панели FM2;шт;2499;;;Евровинт;2,40;
2600950M4X95;Винт с потайной головкой под крест;шт;469;;;Винт;2,76;
50105M6X30;Винт с потайной головкой под шестигранник;шт;2446;;;Винт;2,97;
50205M6X80;Винт стяжки Бочонок с потайной головкой под шестигранник;шт;2455;;;Винт;5,80;
50305M6X70;Винт стяжки Бочонок с потайной головкой под шестигранник;шт;144;;;Винт;5,02;
50405M6X120;Винт стяжки Бочонок с потайной головкой под шестигранник;шт;2491;;;Винт;9,12;
50505M6X90;Винт стяжки Бочонок с потайной головкой под шестигранник;шт;1336;;;Винт;7,35;
50605M6X60;Винт стяжки Бочонок с потайной головкой под шестигранник;шт;2484;;;Винт;4,81;
50650M6X50;Винт стяжки Бочонок с плоской головкой под шестигранник;шт;2936;;;Винт;3,05;
50660M6X60;Винт стяжки Бочонок с плоской головкой под шестигранник;шт;310;;;Винт;3,78;
50670M6X70;Винт стяжки Бочонок с плоской головкой под шестигранник;шт;2827;;;Винт;4,10;
50680M6X80;Винт стяжки Бочонок с плоской головкой под шестигранник;шт;2238;;;Винт;4,52;
50705M6X50;Винт стяжки Бочонок с потайной головкой под шестигранник;шт;1991;;;Винт;3,39;
H6K60X60B;Винт с шестигранной головкой;шт;301;;;Винт;0,18;
SIM5X30BN;Винт с цилиндрической головкой с неполной резьбой;шт;2202;;;Винт;0,65;
VT4302B1;Винт стяжки Бочонок с потайной головкой под шестигранник;шт;219;;;Винт;4,76;
WPMM4X10IB;Винт с полукруглой головкой под крест;упак;1502;;;Винт;72,23;
WPMM4X20IB;Винт с полукруглой головкой под крест;упак;358;;;Винт;100,22;
WPMM4X22IB;Винт с полукруглой головкой под крест;упак;1701;;;Винт;103,97;
G226V;Заглушка декоративная Mini 2 круглая;шт;382;;;Петли;3,05;
WPMM4X25IB;Винт с полукруглой головкой под крест;упак;2372;;;Винт;100,93;
WPMM4X40IB;Винт с полукруглой головкой под крест;упак;470;;;Винт;157,33;
WPMM4X8IB;Винт с полукруглой головкой под крест;упак;2771;;;Винт;69,05;
WPMM5X12IB;Винт с полукруглой головкой под крест;шт;199;;;Винт;2,54;
WSM5X50KB;Винт с потай;шт;1168;;;Винт;0,25;
WSM6X12KB;Винт с потайной головкой под крест;шт;1141;;;Винт;0,75;
ZZ150M4X45IB;Винт с полукруглой головкой под крест;шт;2679;;;Винт;1,91;
BP01;Гайка для ножки мебельной м6;шт;86;;;Гайка;2,38;
BP01;Гайка для ножки мебельной м6;шт;289;;;Гайка;2,62;
BP02;Гайка для ножки мебельной м;шт;2063;;;Гайка;3,62;
BP02;Гайка для ножки мебельной м;шт;1321;;;Гайка;3,89;
BP03;Гайка для ножки мебельной м;шт.;2578;;;Гайка;6,01;
C019;Гайка усовая M6;шт.;858;;;Гайка;1,13;
C020;Гайка усовая M;шт.;2039;;;Гайка;1,41;
C021;Гайка усовая M;шт.;1403;;;Гайка;2,05;
NM8B;Гайка шестигранная M;шт.;273;;;Гайка;1,98;
NEM5B;Гайка ERICSONA M;шт.;2166;;;Гайка;10,11;
NEM6B;Гайка ERICSONA M6;шт.;2640;;;Гайка;7,28;
NKM10B;Гайка колпачковая M;шт.;428;;;Гайка;1,67;
SPM8;Шайба плоская для винта ;шт.;1698;;;Шайба;5,51;
TNM8B;"Гайка ""барашковая"" ";шт.;203;;;Гайка;5,23;
D009M4X40;Шпилька метрич;шт.;2523;;;Шпилька;0,15;
D011M8X60;Шпилька метрическая;шт.;1684;;;Шпилька;4,17;
D012M10X60;Шпилька метрич;шт.;1636;;;Шпилька;0,40;
900200135;Заглушка самоклеющ;упак;467;;;Заглушка;19,90;
090020013;Заглушка самоклеющ;упак;2642;;;Заглушка;7,64;
9,002E+11;Заглушка самоклеющ;упак;2369;;;Заглушка;6,90;
090020013507L;Заглушка самоклеющ;упак;2863;;;Заглушка;5,00;
090020013507S;Заглушка самоклеющ;упак;1919;;;Заглушка;7,65;
09002001350C01;Заглушка самоклеющ;упак;2685;;;Заглушка;6,90;
09002001350C13;Заглушка самоклеющ;упак;1863;;;Заглушка;6,90;
090040013504G;Заглушка самоклеющ;упак;2568;;;Заглушка;2,50;
090040013504L;Заглушка самоклеющ;упак;509;;;Заглушка;2,50;
900400135;Заглушка самоклеющ;упак;550;;;Заглушка;9,07;
090040013507S;Заглушка самоклеющ;упак;1047;;;Заглушка;27,57;
09004001350С13;Заглушка самоклеющ;упак;842;;;Заглушка;27,57;
090040020501D;Заглушка самоклеющ;упак;2351;;;Заглушка;2,50;
090040020502С;Заглушка самоклеющ;упак;1352;;;Заглушка;9,44;
090040020504L;Заглушка самоклеющ;упак;2505;;;Заглушка;4,95;
090040020504M;Заглушка самоклеющ;упак;2889;;;Заглушка;14,57;
900400205;Заглушка самоклеющ;упак;271;;;Заглушка;8,97;
09004002050C01;Заглушка самоклеющ;упак;346;;;Заглушка;2,50;
13005HM;Заглушка самоклеящаяся клен фьорд;упак;1431;;;Заглушка;27,64;
13006HM;Заглушка самоклеящаяся дуб беленый;упак;1160;;;Заглушка;27,64;
13010HD;Заглушка самоклеящаяся черная;упак;1980;;;Заглушка;27,64;
13020HD;Заглушка самоклеящаяся белая;упак;1440;;;Заглушка;27,64;
13022HM;Заглушка самоклеящаяся серый металлик;упак;468;;;Заглушка;27,64;
13025HD;Заглушка самоклеящаяся зелёная;упак;333;;;Заглушка;27,64;
13030HD;Заглушка самоклеящаяся бежевый однотонный;упак;1287;;;Заглушка;27,64;
13032HM;Заглушка самоклеящаяся яблоня локарно;упак;2380;;;Заглушка;27,64;
13048HM;Заглушка самоклеящаяся ма;упак;910;;;Заглушка;27,64;
13050HM;Заглушка самоклеящаяся светлая вишня;упак;221;;;Заглушка;27,64;
13071HM;Заглушка самоклеящаяся бук;упак;1058;;;Заглушка;27,64;
13074HM;Заглушка самоклеящаяся вишня оксфорд;упак;2603;;;Заглушка;27,64;
13076HM;Заглушка самоклеящаяся оре;упак;2762;;;Заглушка;27,64;
13079HM;Заглушка самоклеящаяся венге;упак;203;;;Заглушка;27,64;
13080HD;Заглушка самоклеящаяся светло;упак;609;;;Заглушка;27,64;
13092HM;Заглушка самоклеящаяся клен;упак;2331;;;Заглушка;27,64;
13103HM;Заглушка самоклеящаяся темная вишня;упак;2068;;;Заглушка;27,64;
13115HM;Заглушка самоклеящаяся дуб;упак;197;;;Заглушка;27,64;
13131HD;Заглушка самоклеящаяся красная;упак;468;;;Заглушка;27,64;
13135HM;Заглушка самоклеящаяся дуб молочный;упак;1154;;;Заглушка;27,64;
13158HM;Заглушка самоклеящаяся дуб ривьера;упак;2194;;;Заглушка;27,64;
13576HD;Заглушка самоклеящаяся жёлтая;упак;692;;;Заглушка;27,64;
13621HD;Заглушка самоклеящаяся синяя;упак;2773;;;Заглушка;27,64;
23011010AB;SPIRAL LOCK Заглушка для стяжки;шт;2652;;;Заглушка;3,75;
23011010MK;SPIRAL LOCK Заглушка для стяжки;шт;2803;;;Заглушка;3,75;
23011010ЕА;SPIRAL LOCK Заглушка для стяжки;шт;2943;;;Заглушка;3,75;
20005HM;Заглушка самоклеящаяся клен фьорд;упак;749;;;Заглушка;14,35;
20006HM;Заглушка самоклеящаяся дуб беленый;упак;810;;;Заглушка;14,35;
20010HD;Заглушка самоклеящаяся черная;упак;50;;;Заглушка;14,35;
20020HD;Заглушка самоклеящаяся белая;упак;544;;;Заглушка;14,35;
20022HM;Заглушка самоклеящаяся серый металлик;упак;2352;;;Заглушка;14,35;
20025HD;Заглушка самоклеящаяся зелёная;упак;2061;;;Заглушка;14,35;
20030HD;Заглушка самоклеящаяся бежевый однотонный;упак;2346;;;Заглушка;14,35;
20032HM;Заглушка самоклеящаяся яблоня локарно;упак;2275;;;Заглушка;14,35;
20048HM;Заглушка самоклеящаяся ма;упак;629;;;Заглушка;14,35;
20050HM;Заглушка самоклеящаяся светлая вишня;упак;994;;;Заглушка;14,35;
20071HM;Заглушка самоклеящаяся бук;упак;2344;;;Заглушка;14,35;
20074HM;Заглушка самоклеящаяся вишня оксфорд;упак;2460;;;Заглушка;14,35;
20076HM;Заглушка самоклеящаяся оре;упак;2229;;;Заглушка;14,35;
20079HM;Заглушка самоклеящаяся венге;упак;2689;;;Заглушка;14,35;
20080HD;Заглушка самоклеящаяся светло;упак;1830;;;Заглушка;14,35;
20092HM;Заглушка самоклеящаяся клен;упак;411;;;Заглушка;14,35;
20103HM;Заглушка самоклеящаяся темная вишня;упак;1698;;;Заглушка;14,35;
20115HM;Заглушка самоклеящаяся дуб;упак;1871;;;Заглушка;14,35;
20131HD;Заглушка самоклеящаяся красная;упак;2667;;;Заглушка;14,35;
20135HM;Заглушка самоклеящаяся дуб молочный;упак;2088;;;Заглушка;14,35;
20576HD;Заглушка самоклеящаяся жёлтая;упак;1351;;;Заглушка;14,35;
20621HD;Заглушка самоклеящаяся синяя;упак;2146;;;Заглушка;14,35;
35010HD;Заглушка самоклеящаяся черная;упак;2070;;;Заглушка;36,82;
35020HD;Заглушка самоклеящаяся белая;упак.;1770;;;Заглушка;36,82;
35060HD;Заглушка самоклеящаяся коричневая;упак.;2715;;;Заглушка;36,82;
40010HD;Заглушка самоклеящаяся черная;упак.;1602;;;Заглушка;40,43;
40020HD;Заглушка самоклеящаяся белая;упак.;768;;;Заглушка;40,43;
40030HD;Заглушка самоклеящаяся бежевый однотонный;упак.;864;;;Заглушка;40,43;
40060HD;Заглушка самоклеящаяся коричневая;упак.;605;;;Заглушка;40,43;
40080HD;Заглушка самоклеящаяся светло;упак.;1214;;;Заглушка;40,43;
CF01PAC;Заглушка для те;шт;1418;;;Заглушка;0,42;
CF01PB;Заглушка для те;шт;736;;;Заглушка;0,35;
CF01PCI;Заглушка для те;шт;1635;;;Заглушка;0,35;
CF01PFA;Заглушка для те;шт;2492;;;Заглушка;0,35;
CF01PFR;Заглушка для те;шт;1450;;;Заглушка;0,42;
CF01PGA;Заглушка для те;шт;2402;;;Заглушка;0,35;
CF01PMA;Заглушка для те;шт;1603;;;Заглушка;0,35;
CF01PNE;Заглушка для те;шт;1186;;;Заглушка;0,35;
CF02PAC;Заглушка клен ;шт;2683;;;Заглушка;0,10;
CF02PB;Заглушка для те;шт;951;;;Заглушка;0,35;
CF02PCI;Заглушка для те;шт;2820;;;Заглушка;0,25;
CF02PFA;Заглушка для те;шт;2847;;;Заглушка;0,35;
CF02PGA;Заглушка для те;шт;2134;;;Заглушка;0,42;
CF02PMA;Заглушка для те;шт;1835;;;Заглушка;0,35;
CF02PNE;Заглушка для те;шт;1682;;;Заглушка;0,35;
CF03PAC;Заглушка для те;шт;2064;;;Заглушка;0,42;
CF03PB;Заглушка для те;шт;1213;;;Заглушка;0,42;
CF03PCI;Заглушка для те;шт;1596;;;Заглушка;0,42;
CF03PFA;Заглушка для те;шт;1699;;;Заглушка;0,42;
CF03PFR;Заглушка для те;шт;1827;;;Заглушка;0,42;
CF03PGA;Заглушка для те;шт;127;;;Заглушка;0,42;
CF03PMA;Заглушка для те;шт;189;;;Заглушка;0,42;
CF03PNE;Заглушка для те;шт;1903;;;Заглушка;0,42;
SPAX;Заглушка для самореза с потайной головкой;упак;2654;;;Заглушка;250,28;
AL02;Полкодержатель для деревянны;шт;625;;;Уголки мебельные;6,36;
AL02ZBR;Полкодержатель для деревянны;шт;287;;;Уголки мебельные;6,36;
AL22;Полкодержатель для деревянны;шт;973;;;Уголки мебельные;6,36;
AL22ZBR;Полкодержатель для деревянны;шт;1349;;;Уголки мебельные;6,36;
CS01PB;Накладка для держателя задней панели FM2;шт;185;;;Уголки мебельные;5,44;
CS01PMA;Накладка для держателя задней панели FM2;шт;67;;;Уголки мебельные;5,44;
CS01PNE;Накладка для держателя задней панели FM2;шт;1486;;;Уголки мебельные;3,45;
FM10FZ;Держатель задней панели;шт;2789;;;Уголки мебельные;9,00;
FM18ZNL;Держатель задней панели;шт;429;;;Уголки мебельные;10,39;
FM20ZN;Держатель задней панели;шт;2832;;;Уголки мебельные;21,70;
FS1054AA;Уголок мебельный с саморезом белый;шт;1640;;;Уголки мебельные;1,55;
FS1054AC;Уголок мебельный с саморезом коричневый;шт;2073;;;Уголки мебельные;1,55;
SPC26X26X20ALD;WINK Уголок мебельный с пластиковой накладкой ;шт;365;;;Уголки мебельные;5,30;
SPC26X26X20BE;WINK Уголок мебельный с пластиковой накладкой ;шт;2301;;;Уголки мебельные;5,30;
SPC26X26X20BL;WINK Уголок мебельный с пластиковой накладкой ;шт;2377;;;Уголки мебельные;5,30;
SPC26X26X20GR;WINK Уголок мебельный с пластиковой накладкой ;шт;1494;;;Уголки мебельные;5,30;
SPC26X26X20WA;WINK Уголок мебельный с пластиковой накладкой ;шт;475;;;Уголки мебельные;5,30;
SPC26X26X20WE;WINK Уголок мебельный с пластиковой накладкой ;шт;2145;;;Уголки мебельные;5,30;
SPC26X26X20WH;WINK Уголок мебельный с пластиковой накладкой ;шт;1573;;;Уголки мебельные;5,30;
UC9101;Уголок;шт;979;;;Уголки мебельные;4,05;
UC9201;Уголок;шт;460;;;Уголки мебельные;26,23;
UMN;Уголок мебельный вишня ;упак;2304;;;Уголки мебельные;50,00;
UMN;Уголок мебельный вишня ;упак;1602;;;Уголки мебельные;100,00;
UMN;Уголок мебельный груша ;упак;2259;;;Уголки мебельные;150,90;
UM№1M;Уголок мебельный белый ;упак;1394;;;Уголки мебельные;150,90;
UM№10;Уголок меб;упак;2952;;;Уголки мебельные;100,00;
UM№11M;Уголок мебельный светло;упак;2653;;;Уголки мебельные;100,00;
UM№16M;Уголок мебельный слоновая кость ;упак;2456;;;Уголки мебельные;150,90;
UM№2M;Уголок мебельный бежевый ;упак;164;;;Уголки мебельные;150,90;
UM№20;Уголок мебельный бук бавария;упак;2156;;;Уголки мебельные;100,59;
UM№20M;Уголок мебельный бук бавария;упак;1514;;;Уголки мебельные;100,00;
UM№4M;Уголок мебельный коричневый ;упак;2550;;;Уголки мебельные;150,90;
UM№5;Уголок мебельный черный ;упак;2894;;;Уголки мебельные;100,00;
UM№5M;Уголок мебельный черный ;упак;207;;;Уголки мебельные;150,90;
UM№9;Уголок мебельный серый ;упак;2081;;;Уголки мебельные;100,59;
UM№9M;Уголок мебельный серый ;упак;1914;;;Уголки мебельные;150,90;
UM40X19;Уголок монтажный;шт;296;;;Уголки мебельные;6,81;
UM50X26X41;Уголок монтажный универсальный;шт;2678;;;Уголки мебельные;11,09;
VS05FZ;Евровинт с потайной головкой для держателя задней панели FM2;шт;1778;;;Уголки мебельные;2,40;
У058;Уголок монтажный;шт;891;;;Уголки мебельные;13,10;
У100;Уголок монтажный;шт;888;;;Уголки мебельные;4,08;
У111;Уголок монтажный;шт;2403;;;Уголки мебельные;8,49;
У157;Уголок монтажный;шт;1511;;;Уголки мебельные;16,38;
У200;Уголок монтажный;шт;2708;;;Уголки мебельные;6,81;
У300;Уголок монтажный;шт;2635;;;Уголки мебельные;7,08;
У393;Уголок монтажный;шт;1532;;;Уголки мебельные;7,43;
У442;Уголок монтажный;шт;301;;;Уголки мебельные;8,40;
У500;Уголок монтажный;шт;1928;;;Уголки мебельные;9,45;
У600;Уголок монтажный;шт;2562;;;Уголки мебельные;6,48;
У700;Уголок монтажный;шт;2750;;;Уголки мебельные;5,79;
6X30;Шкант мебельный 6 ;упак;106;;;шканты;274,27;
8X30;Шкант мебельный  ;упак;302;;;шканты;4996,99;
8X30;Шкант мебельный  ;упак;1214;;;шканты;1158,39;
8X30K;Шкант калиброванный мебельный  ;упак;1174;;;шканты;1158,39;
8X40;Шкант мебельный  ;упак;343;;;шканты;386,13;
8X50;Шкант мебельный  ;упак;889;;;шканты;503,11;
EL10;Шкант плоский  ;упак;1210;;;шканты;2187,90;
EL20;Шкант плоский  ;упак;1017;;;шканты;2187,90;
EL30;Шкант плоский  ;упак;524;;;шканты;3456,18;
SP12FZT00;Шкант металлический папа;шт;1027;;;шканты;3,75;
SP12FZTFE;Шкант металлический мама;шт;1379;;;шканты;3,68;
14001;Брус соединительный белый;шт;2419;;;Крепления и соединители;48,84;
14004;Брус соединительный коричневый;шт;1561;;;Крепления и соединители;48,84;
14005;Брус соединительный черный;шт;640;;;Крепления и соединители;17,50;
424708;Teks Крепление для фасада ;компл;2215;;;Крепления и соединители;42,19;
4247156;Discus Крепление для панели ;компл;1679;;;Крепления и соединители;16,53;
438;Дву;боб;2166;;;Крепления и соединители;1136,25;
CD3500ШТ;Зеркалодержатель груша ;упак;2306;;;Крепления и соединители;149,00;
CD6;Зеркалодержатель желтый ;упак;2954;;;Крепления и соединители;138,00;
FS01PB;Крепление для стекла   белое;шт;1714;;;Крепления и соединители;2,94;
FS01PMA;Держатель зеркала ;шт;899;;;Крепления и соединители;0,50;
FS01PNE;Держатель зеркала ;шт;634;;;Крепления и соединители;1,00;
FS01PT;Крепление для стекла   прозрачное;шт;239;;;Крепления и соединители;2,95;
FS02PB;Крепление для стекла   белое;шт;2401;;;Крепления и соединители;6,43;
FS02PMА;Держатель зеркала ;шт;1195;;;Крепления и соединители;4,74;
FS02PNE;Держатель зеркала ;шт;908;;;Крепления и соединители;1,00;
FS02PT;Крепление для стекла   прозрачное;шт;2173;;;Крепления и соединители;6,43;
FS03PB;Держатель зеркала ;шт;1001;;;Крепления и соединители;0,50;
FS03PMA;Держатель зеркала ;шт;2198;;;Крепления и соединители;0,50;
FS03PNE;Держатель зеркала ;шт;2463;;;Крепления и соединители;0,45;
FS03PT;Держатель зеркала ;шт;2592;;;Крепления и соединители;1,00;
FS0405AC;Держатель зеркала   коричн;шт;2072;;;Крепления и соединители;0,50;
KZS15X15;Крепление задней стенки;шт;2897;;;Крепления и соединители;0,85;
MMC130W;Соединитель диванный клиновой;компл;2745;;;Крепления и соединители;34,78;
MMZ46X35;За;шт;1203;;;Крепления и соединители;6,77;
MMZ97X48;За;шт;383;;;Крепления и соединители;15,82;
ПК100;Пластина крепежная металлическая;шт;2640;;;Крепления и соединители;7,35;
ПК40;Пластина крепежная металлическая;шт;2467;;;Крепления и соединители;2,79;
ПК50;Пластина крепежная металлическая;шт;733;;;Крепления и соединители;4,20;
MAGA16;магнит под саморез;шт;1874;;;Крепления и соединители;87,44;
MAGC16;магнит со шпилькой м;шт;1767;;;Крепления и соединители;90,86;
MAGD16;Ответная планка для магнита под саморез;шт;903;;;Крепления и соединители;37,47;
MAGN33;Врезной магнит неодимовый;шт;1290;;;Крепления и соединители;30,66;
MAGVINIL;магнитный винил с клеевой основой;шт;518;;;Крепления и соединители;851,76;
10208020WA;K;шт;2685;;;Полкодепжатели;3,39;
10208020YA;K;шт;2366;;;Полкодепжатели;3,39;
3016107;OR Полкодержатель для стеклянны;шт;2253;;;Полкодепжатели;5,65;
DUOZNLPNEкт;Полкодержатель DUO ;компл;788;;;Полкодепжатели;11,26;
DUOZNLPTкт;Полкодержатель DUO ;компл;2295;;;Полкодепжатели;13,50;
ME01ZBR;Полкодержатель с дополнительным упором для деревянны;шт;926;;;Полкодепжатели;2,40;
ME01ZNL144;Полкодержатель с дополнительным упором для деревянны;шт;2771;;;Полкодепжатели;2,62;
ME05ZNL;Полкодержатель с дополнительным упором для деревянны;шт;2821;;;Полкодепжатели;1,49;
ME10FNL;Полкодержатель для деревянны;шт;2846;;;Полкодепжатели;1,06;
ME13PT30065;GERMANY Полкодержатель для стеклянны;упак;2811;;;Полкодепжатели;1324,26;
MV053016106;OR Полкодержатель для стеклянны;шт;2986;;;Полкодепжатели;5,02;
MV053016108;OR Полкодержатель для стеклянны;шт;1217;;;Полкодепжатели;5,65;
PK50X16NI;Полкодержатель для деревянны;упак;2285;;;Полкодепжатели;633,36;
PK50X16B;Полкодержатель для деревянны;упак;230;;;Полкодепжатели;495,18;
10208050WA;K;шт;2788;;;Полкодепжатели;3,46;
10208050YA;K;шт;835;;;Полкодепжатели;3,46;
1085202000;SPRING Сверло для установки полкодержателя;шт.;585;;;Полкодепжатели;2995,00;
1145201000;PK2 Сверло для установки полкодержателя;шт.;744;;;Полкодепжатели;3348,54;
1175202000;MAORI 6 Сверло для установки полкодержателя;шт.;1978;;;Полкодепжатели;7776,92;
1175204000;MAORI 2;шт.;2107;;;Полкодепжатели;3203,44;
12222050IJ;SECRET Скрытый полкодержатель для деревянны;шт.;2025;;;Полкодепжатели;76,05;
2567852;UNICO Полкодержатель для деревянны;шт.;1888;;;Полкодепжатели;16,82;
2567862;UNICO Полкодержатель для деревянны;шт.;2643;;;Полкодепжатели;7,50;
257420;FLIPPER Полкодержатель для деревянны;шт.;708;;;Полкодепжатели;2,97;
257421;FLIPPER Полкодержатель для деревянны;шт.;111;;;Полкодепжатели;2,97;
257422;FLIPPER Полкодержатель для деревянны;шт.;2267;;;Полкодепжатели;2,97;
257423;FLIPPER Полкодержатель для деревянны;шт.;1762;;;Полкодепжатели;2,97;
257430;FLIPPER Полкодержатель для деревянны;шт.;651;;;Полкодепжатели;2,97;
257436;FLIPPER Шток;шт.;2370;;;Полкодепжатели;2,19;
257450;FLIPPER Шток с гладким штифтом для полкодержателя;шт.;123;;;Полкодепжатели;2,76;
2597041;PK2 Полкодержатель пластик светло;шт.;1364;;;Полкодепжатели;10,11;
259715;PK2 Опора полкодержателя с дюбелем;шт.;2722;;;Полкодепжатели;12,02;
